Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Texts,Correspondence Address,Publisher,Sponsors,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Document Type,Publication Stage,Open Access,Source,EID
Hahn W.; Ahmadi N.; Hoffmann K.; Eckardt J.-N.; Sedlmayr M.; Wolfien M.,"Hahn, Waldemar (57255281800); Ahmadi, Najia (57283529300); Hoffmann, Katja (57214825228); Eckardt, Jan-Niklas (57221053738); Sedlmayr, Martin (56043034300); Wolfien, Markus (55633497900)",57255281800; 57283529300; 57214825228; 57221053738; 56043034300; 55633497900,Synthetic Data Generation in Hematology - Paving the Way for OMOP and FHIR Integration,2024,Studies in Health Technology and Informatics,316,,,1472,1476,4.0,0.0,10.3233/SHTI240692,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202002537&doi=10.3233%2fSHTI240692&partnerID=40&md5=1ab7299d478cad5284b3367dc361ebc8,"This study advances the utility of synthetic study data in hematology, particularly for Acute Myeloid Leukemia (AML), by facilitating its integration into healthcare systems and research platforms through standardization into the Observational Medical Outcomes Partnership (OMOP) and Fast Healthcare Interoperability Resources (FHIR) formats. In our previous work, we addressed the need for high-quality patient data and used CTAB-GAN+ and Normalizing Flow (NFlow) to synthesize data from 1606 patients across four multicenter AML clinical trials. We published the generated synthetic cohorts, that accurately replicate the distributions of key demographic, laboratory, molecular, and cytogenetic variables, alongside patient outcomes, demonstrating high fidelity and usability. The conversion to the OMOP format opens avenues for comparative observational multi-center research by enabling seamless combination with related OMOP datasets, thereby broadening the scope of AML research. Similarly, standardization into FHIR facilitates further developments of applications, e.g. via the SMART-on-FHIR platform, offering realistic test data. This effort aims to foster a more collaborative research environment and facilitate the development of innovative tools and applications in AML care and research. © 2024 The Authors.",AML; Data Sharing; FHIR; Hematology; OMOP; Synthetic patient data,"Electronic Health Records; Health Information Interoperability; Hematology; Humans; Leukemia, Myeloid, Acute; Outcome Assessment, Health Care; Clinical research; Electronic health record; Hospital data processing; Acute myeloid leukemia; Data Sharing; Fast healthcare interoperability resource; Haematology; Healthcare Interoperability; Observational medical outcome partnership; Patient data; Resources integrations; Synthetic data generations; Synthetic patient data; acute myeloid leukemia; data interoperability; electronic health record; hematology; human; outcome assessment; Data integration",,"W. Hahn; Center for Scalable Data Analytics and Artificial Intelligence, Dresden, Germany; email: waldemar.hahn@tu-dresden.de",IOS Press BV,Dedalus; Elsevier; JMIR; Trust-IT,"34th Medical Informatics Europe Conference, MIE 2024",25 August 2024 through 29 August 2024,Athens,202964.0,09269630,978-164368533-5,,39176482.0,English,Conference paper,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85202002537
Ge J.; Buenaventura A.; Berrean B.; Purvis J.; Fontil V.; Lai J.C.; Pletcher M.J.,"Ge, Jin (57191755339); Buenaventura, Ana (59315407200); Berrean, Beth (56491246000); Purvis, Jory (59374074100); Fontil, Valy (56079848300); Lai, Jennifer C. (36118760300); Pletcher, Mark J. (6701518530)",57191755339; 59315407200; 56491246000; 59374074100; 56079848300; 36118760300; 6701518530,Applying human-centered design to the construction of a cirrhosis management clinical decision support system,2024,Hepatology Communications,8,3,e0394,,,,0.0,10.1097/HC9.0000000000000394,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206932535&doi=10.1097%2fHC9.0000000000000394&partnerID=40&md5=4f112063ea3c7920feeb92b15a491029,"Background: Electronic health record (EHR)-based clinical decision support is a scalable way to help standardize clinical care. Clinical decision support systems have not been extensively investigated in cirrhosis management. Human-centered design (HCD) is an approach that engages with potential users in intervention development. In this study, we applied HCD to design the features and interface for a clinical decision support system for cirrhosis management, called CirrhosisRx. Methods: We conducted technical feasibility assessments to construct a visual blueprint that outlines the basic features of the interface. We then convened collaborative-design workshops with generalist and specialist clinicians. We elicited current workflows for cirrhosis management, assessed gaps in existing EHR systems, evaluated potential features, and refined the design prototype for CirrhosisRx. At the conclusion of each workshop, we analyzed recordings and transcripts. Results: Workshop feedback showed that the aggregation of relevant clinical data into 6 cirrhosis decompensation domains (defined as common inpatient clinical scenarios) was the most important feature. Automatic inference of clinical events from EHR data, such as gastrointestinal bleeding from hemoglobin changes, was not accepted due to accuracy concerns. Visualizations for risk stratification scores were deemed not necessary. Lastly, the HCD co-design workshops allowed us to identify the target user population (generalists). Conclusions: This is one of the first applications of HCD to design the features and interface for an electronic intervention for cirrhosis management. The HCD process altered features, modified the design interface, and likely improved CirrhosisRx’s overall usability. The finalized design for CirrhosisRx proceeded to development and production and will be tested for effectiveness in a pragmatic randomized controlled trial. This work provides a model for the creation of other EHR-based interventions in hepatology care. Copyright © 2024 The Author(s).",,,"The authors of this study were supported in part by the KL2TR001870 (National Center for Advancing Translational Sciences, Jin Ge), the AASLD Anna S. Lok Advanced/Transplant Hepatology Award AHL21-104606 (AASLD Foundation, Jin Ge), P30DK026743 (UCSF Liver Center Grant, Jin Ge and Jennifer C. Lai), K23HL136899 (National Heart, Lung, and Blood Institute, Valy Fontil), UL1TR001872 (National Center for Advancing Translational Sciences, Mark J. Pletcher), and R01AG059183/K24AG080021 (National Institute on Aging, Jennifer C. Lai). The content is solely the responsibility of the authors and does not necessarily represent the official views of the National Institutes of Health or any other funding agencies. The funding agencies played no role in the analysis of the data or the preparation of this manuscript.","J. Ge; Department of Medicine, Division of Gastroenterology and Hepatology, University of California—San Francisco, San Francisco, 513 Parnassus Avenue, S-357, 94143, United States; email: jin.ge@ucsf.edu",Lippincott Williams and Wilkins,,,,,,2471254X,,,38407255.0,English,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85206932535
Stellmach C.; Sass J.; Auber B.; Boeker M.; Wienker T.; Heidel A.J.; Benary M.; Schumacher S.; Ossowski S.; Klauschen F.; Möller Y.; Schmutzler R.; Ustjanzew A.; Werner P.; Tomczak A.; Hölter T.; Thun S.,"Stellmach, Caroline (57225175424); Sass, Julian (57201945716); Auber, Bernd (22833658900); Boeker, Martin (24331040500); Wienker, Thomas (7006044822); Heidel, Andrew J. (58505024400); Benary, Manuela (26767499000); Schumacher, Simon (57217256655); Ossowski, Stephan (23489906200); Klauschen, Frederick (25226886200); Möller, Yvonne (56418734000); Schmutzler, Rita (7103336805); Ustjanzew, Arsenij (57221349700); Werner, Patrick (57224206314); Tomczak, Aurelie (57217251657); Hölter, Thimo (58264397500); Thun, Sylvia (26535208000)",57225175424; 57201945716; 22833658900; 24331040500; 7006044822; 58505024400; 26767499000; 57217256655; 23489906200; 25226886200; 56418734000; 7103336805; 57221349700; 57224206314; 57217251657; 58264397500; 26535208000,Creation of a structured molecular genomics report for Germany as a local adaption of HL7's Genomic Reporting Implementation Guide,2023,Journal of the American Medical Informatics Association,30,6,,1179,1189,10.0,3.0,10.1093/jamia/ocad061,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159766232&doi=10.1093%2fjamia%2focad061&partnerID=40&md5=362e59038049e8ea51b1dcdf3bd17890,"Objective: The objective was to develop a dataset definition, information model, and FHIR® specification for key data elements contained in a German molecular genomics (MolGen) report to facilitate genomic and phenotype integration in electronic health records. Materials and Methods: A dedicated expert group participating in the German Medical Informatics Initiative reviewed information contained in MolGen reports, determined the key elements, and formulated a dataset definition. HL7's Genomics Reporting Implementation Guide (IG) was adopted as a basis for the FHIR® specification which was subjected to a public ballot. In addition, elements in the MolGen dataset were mapped to the fields defined in ISO/TS 20428:2017 standard to evaluate compliance. Results: A core dataset of 76 data elements, clustered into 6 categories was created to represent all key information of German MolGen reports. Based on this, a FHIR specification with 16 profiles, 14 derived from HL7®'s Genomics Reporting IG and 2 additional profiles (of the FamilyMemberHistory and RiskAssessment resources), was developed. Five example resource bundles show how our adaptation of an international standard can be used to model MolGen report data that was requested following oncological or rare disease indications. Furthermore, the map of the MolGen report data elements to the fields defined by the ISO/TC 20428:2017 standard, confirmed the presence of the majority of required fields. Conclusions: Our report serves as a template for other research initiatives attempting to create a standard format for unstructured genomic report data. Use of standard formats facilitates integration of genomic data into electronic health records for clinical decision support. © 2023 The Author(s). Published by Oxford University Press on behalf of the American Medical Informatics Association.",Fast Healthcare Interoperability Resources; FHIR<sup>®</sup>; HL7<sup>®</sup>; Implementation Guide; interoperability; molecular genomics report; sequencing data,"Decision Support Systems, Clinical; Electronic Health Records; Genomics; Germany; Health Level Seven; genomic DNA; Article; breast cancer; clinical decision making; colorectal cancer; cytogenetics; electronic health record; ethnicity; gene mapping; gene structure; genetic risk score; genome-wide association study; genomics; genotype; Germany; germline mutation; haplotype; human; ICD-10; information model; integration; limit of detection; lung cancer; malignant neoplasm; medical informatics; molecular genomics; ovary cancer; phenotype; practice guideline; rare disease; clinical decision support system; genomics; Germany; health level 7",,"C. Stellmach; Core Facility Digital Medicine and Interoperability, Berlin Institute of Health (BIH), Charite - Universitätsmedizin Berlin, Berlin, Anna-Louisa-Karsch-Str. 2, 10178, Germany; email: caroline.stellmach@bih-charite.de",Oxford University Press,,,,,,10675027,,JAMAF,37080557.0,English,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85159766232
May R.; Denecke K.,"May, Richard (57202109435); Denecke, Kerstin (24331428400)",57202109435; 24331428400,Conversational Agents in Healthcare: A Variability Perspective,2024,ACM International Conference Proceeding Series,,,,123,128,5.0,2.0,10.1145/3634713.3634717,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184279614&doi=10.1145%2f3634713.3634717&partnerID=40&md5=fda32355b30697cdab050af19b545d32,"Conversational agents in healthcare are gaining popularity, for example, in the context of eliciting medical histories. Furthermore, due to the growing diversity of use cases and stakeholders, they are becoming increasingly configurable and are often based on variability mechanisms. In this paper, we present a high-level perspective on typical variability aspects and describe common challenges based on our research and practical experience in developing and evaluating conversational agents in the healthcare domain. We introduce variability aspects that are classified into technology-related (e.g., intelligence framework, input/output mode) and user-related aspects (e.g., careflow integration, health literacy). Moreover, these aspects are described in a case study on the Digital Medical Interview Assistant (DMIA) for radiology. We highlight main challenges that arise in the context of evolution, verification, input processing, privacy and security compliance, as well as ethical considerations. Our findings are intended to help developers, researchers, and healthcare professionals understand the importance and impact of configurability and to spur further discussions on variability aspects of conversational agents.  © 2024 ACM.",chatbot; configuration; conversational agent; healthcare; variability,Compliance control; Ethical technology; Chatbots; Classifieds; Configuration; Conversational agents; Healthcare; Healthcare domains; Medical history; Practical experience; Research experience; Variability; Health care,,,Association for Computing Machinery,,"18th International Working Conference on Variability Modelling of Software-Intensive Systems, VaMoS 2024",7 February 2024 through 9 February 2024,Bern,196687.0,,979-840070877-0,,,English,Conference paper,Final,,Scopus,2-s2.0-85184279614
Guo H.; Scriney M.; Liu K.,"Guo, Hua (57209343942); Scriney, Michael (57188979102); Liu, Kecheng (7404200099)",57209343942; 57188979102; 7404200099,An Ostensive Information Architecture to Enhance Semantic Interoperability for Healthcare Information Systems,2024,Information Systems Frontiers,26,1,,277,300,23.0,3.0,10.1007/s10796-023-10379-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149001586&doi=10.1007%2fs10796-023-10379-5&partnerID=40&md5=ec69182f7ec8bd926ff362d9994305cf,"Semantic interoperability establishes intercommunications and enables data sharing across disparate systems. In this study, we propose an ostensive information architecture for healthcare information systems to decrease ambiguity caused by using signs in different contexts for different purposes. The ostensive information architecture adopts a consensus-based approach initiated from the perspective of information systems re-design and can be applied to other domains where information exchange is required between heterogeneous systems. Driven by the issues in FHIR (Fast Health Interoperability Resources) implementation, an ostensive approach that supplements the current lexical approach in semantic exchange is proposed. A Semantic Engine with an FHIR knowledge graph as the core is constructed using Neo4j to provide semantic interpretation and examples. The MIMIC III (Medical Information Mart for Intensive Care) datasets and diabetes datasets have been employed to demonstrate the effectiveness of the proposed information architecture. We further discuss the benefits of the separation of semantic interpretation and data storage from the perspective of information system design, and the semantic reasoning towards patient-centric care underpinned by the Semantic Engine. © 2023, The Author(s).",Digital healthcare; FHIR; Graph database; Healthcare information systems; Knowledge graph; Ontology graph; Ostensive approach; Semantic interoperability,Data integration; Digital storage; Engines; Health care; Information dissemination; Information management; Information use; Knowledge graph; Medical computing; Medical information systems; Semantics; Digital healthcare; Fast health interoperability resource; Graph database; Healthcare information system; Information architectures; Knowledge graphs; Ontology graphs; Ostensive approach; Semantic interoperability; Semantic interpretation; Interoperability,,"H. Guo; School of Electronic Engineering and Computer Science, Queen Mary University of London, London, United Kingdom; email: claria.guo@qmul.ac.uk",Springer,,,,,,13873326,,,,English,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85149001586
Amirahmadi A.; Ohlsson M.; Etminani K.,"Amirahmadi, Ali (57904428300); Ohlsson, Mattias (7006120856); Etminani, Kobra (24491745100)",57904428300; 7006120856; 24491745100,Deep learning prediction models based on EHR trajectories: A systematic review,2023,Journal of Biomedical Informatics,144,,104430,,,,14.0,10.1016/j.jbi.2023.104430,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164039312&doi=10.1016%2fj.jbi.2023.104430&partnerID=40&md5=7c04dc6322850b2819058112f3ebd1f2,"Background: : Electronic health records (EHRs) are generated at an ever-increasing rate. EHR trajectories, the temporal aspect of health records, facilitate predicting patients’ future health-related risks. It enables healthcare systems to increase the quality of care through early identification and primary prevention. Deep learning techniques have shown great capacity for analyzing complex data and have been successful for prediction tasks using complex EHR trajectories. This systematic review aims to analyze recent studies to identify challenges, knowledge gaps, and ongoing research directions. Methods: For this systematic review, we searched Scopus, PubMed, IEEE Xplore, and ACM databases from Jan 2016 to April 2022 using search terms centered around EHR, deep learning, and trajectories. Then the selected papers were analyzed according to publication characteristics, objectives, and their solutions regarding existing challenges, such as the model's capacity to deal with intricate data dependencies, data insufficiency, and explainability. Results: : After removing duplicates and out-of-scope papers, 63 papers were selected, which showed rapid growth in the number of research in recent years. Predicting all diseases in the next visit and the onset of cardiovascular diseases were the most common targets. Different contextual and non-contextual representation learning methods are employed to retrieve important information from the sequence of EHR trajectories. Recurrent neural networks and the time-aware attention mechanism for modeling long-term dependencies, self-attentions, convolutional neural networks, graphs for representing inner visit relations, and attention scores for explainability were frequently used among the reviewed publications. Conclusions: This systematic review demonstrated how recent breakthroughs in deep learning methods have facilitated the modeling of EHR trajectories. Research on improving the ability of graph neural networks, attention mechanisms, and cross-modal learning to analyze intricate dependencies among EHRs has shown good progress. There is a need to increase the number of publicly available EHR trajectory datasets to allow for easier comparison among different models. Also, very few developed models can handle all aspects of EHR trajectory data. © 2023 The Author(s)",Deep learning; Disease prediction; EHR trajectories; Electronic health records; Systematic review,"Cardiovascular Diseases; Deep Learning; Electronic Health Records; Forecasting; Humans; Neural Networks, Computer; Complex networks; E-learning; Forecasting; Health risks; Learning systems; Paper; Records management; Recurrent neural networks; Deep learning; Disease prediction; Electronic health; Electronic health record; Electronic health record trajectory; Health records; Learning methods; Systematic Review; analytical parameters; cardiovascular disease; convolutional neural network; cross modal learning; data dependency; data explainability; data insufficiency; deep learning; electronic health record; human; knowledge gap; learning; predictive model; publication; recurrent neural network; Review; systematic review; artificial neural network; cardiovascular disease; electronic health record; forecasting; Trajectories",This study was part of the AIR Lund (Artificially Intelligent use of Registers at Lund University) research environment and received funding from the Swedish Research Council (VR; grant no. 2019-00198 ). ,"A. Amirahmadi; Center for Applied Intelligent Systems Research, Halmstad University, Sweden; email: ali.amirahmadi@hh.se",Academic Press Inc.,,,,,,15320464,,JBIOB,37380061.0,English,Review,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85164039312
Nolla K.; Rasmussen L.V.; Rothrock N.E.; Butt Z.; Bass M.; Davis K.; Cella D.; Gershon R.; Barnard C.; Chmiel R.; Almaraz F.; Schachter M.; Nelson T.; Langer M.; Starren J.,"Nolla, Kyle (57191662714); Rasmussen, Luke V. (15825466200); Rothrock, Nan E. (6603212211); Butt, Zeeshan (8269816400); Bass, Michael (36571522300); Davis, Kristina (57217994709); Cella, David (7102638119); Gershon, Richard (7101692577); Barnard, Cynthia (8376943700); Chmiel, Ryan (57373387600); Almaraz, Federico (57207576752); Schachter, Michael (58797812100); Nelson, Therese (57219501758); Langer, Michelle (16239363000); Starren, Justin (6603888860)",57191662714; 15825466200; 6603212211; 8269816400; 36571522300; 57217994709; 7102638119; 7101692577; 8376943700; 57373387600; 57207576752; 58797812100; 57219501758; 16239363000; 6603888860,Seamless Integration of Computer-Adaptive Patient Reported Outcomes into an Electronic Health Record,2023,Applied Clinical Informatics,15,1,,145,154,9.0,0.0,10.1055/a-2235-9557,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181669851&doi=10.1055%2fa-2235-9557&partnerID=40&md5=0bdf4e60adf98c3877bb4d307aeba979,"Background Patient-reported outcome (PRO) measures have become an essential component of quality measurement, quality improvement, and capturing the voice of the patient in clinical care. In 2004, the National Institutes of Health endorsed the importance of PROs by initiating the Patient-Reported Outcomes Measurement Information System (PROMIS), which leverages computer-adaptive tests (CATs) to reduce patient burden while maintaining measurement precision. Historically, PROMIS CATs have been used in a large number of research studies outside the electronic health record (EHR), but growing demand for clinical use of PROs requires creative information technology solutions for integration into the EHR. Objectives This paper describes the introduction of PROMIS CATs into the Epic Systems EHR at a large academic medical center using a tight integration; we describe the process of creating a secure, automatic connection between the application programming interface (API) which scores and selects CAT items and Epic. Methods The overarching strategy was to make CATs appear indistinguishable from conventional measures to clinical users, patients, and the EHR software itself. We implemented CATs in Epic without compromising patient data security by creating custom middleware software within the organization's existing middleware framework. This software communicated between the Assessment Center API for item selection and scoring and Epic for item presentation and results. The middleware software seamlessly administered CATs alongside fixed-length, conventional PROs while maintaining the display characteristics and functions of other Epic measures, including automatic display of PROMIS scores in the patient's chart. Pilot implementation revealed differing workflows for clinicians using the software. Results The middleware software was adopted in 27 clinics across the hospital system. In the first 2 years of hospital-wide implementation, 793 providers collected 70,446 PROs from patients using this system. Conclusion This project demonstrated the importance of regular communication across interdisciplinary teams in the design and development of clinical software. It also demonstrated that implementation relies on buy-in from clinical partners as they integrate new tools into their existing clinical workflow. © 2023 Georg Thieme Verlag. All rights reserved.",clinical informatics; electronic health records; health informatics interoperability; IT design and development methodologies; patient-reported outcome measures,Computers; Electronic Health Records; Humans; Patient Reported Outcome Measures; Software; electronic health record; human; patient-reported outcome; software,"Funding text 1: The HealthMeasures/PROMIS team which has supported K.N., N.R., M.B., & M.L is funded in part by Assessment Center API licensing fees. D.C. served as President of the PROMIS Health Organization in a non-compensated role. Z.B. is an employee of Phreesia, Inc. and receives equity in the company.; Funding text 2: Funding The initial development of NMPRO was funded by the Vice Dean for Scientific Affairs and Graduate Education at the Feinberg School of Medicine. NMPRO and J.S. were funded by UL1TR000150 and UL1TR001422 from the National Center for Advancing Translational Science (NCATS). Evaluation and lessons learned development was funded by U01TR001806 from NCATS. K.N. was supported by NIH/NCI training grant CA193193. In kind implementation support was provided by Northwestern Memorial HealthCare. Acknowledgments We thank Northwestern Medicine Analytics, Quality, and Operations for providing updated usage statistics on NMPRO.","K. Nolla; Department of Medical Social Sciences, Northwestern University, Chicago, 625 N Michigan Ave, 21st Floor, 60611, United States; email: kylenolla@northwestern.edu",Georg Thieme Verlag,,,,,,18690327,,,38154472.0,English,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85181669851
MacHeka S.; Ng P.Y.; Ginsburg O.; Hope A.; Sullivan R.; Aggarwal A.,"MacHeka, Sheba (59168163200); Ng, Peng Yun (57716303000); Ginsburg, Ophira (7801578334); Hope, Andrew (34770376700); Sullivan, Richard (7402485056); Aggarwal, Ajay (57109817600)",59168163200; 57716303000; 7801578334; 34770376700; 7402485056; 57109817600,Prospective evaluation of artificial intelligence (AI) applications for use in cancer pathways following diagnosis: a systematic review,2024,BMJ Oncology,3,1,e000255,,,,1.0,10.1136/bmjonc-2023-000255,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195671462&doi=10.1136%2fbmjonc-2023-000255&partnerID=40&md5=623f98e42cd74b0943dd5a81adcadb5a,"The role of artificial intelligence (AI) in cancer care has evolved in the face of ageing population, workforce shortages and technological advancement. Despite recent uptake in AI research and adoption, the extent to which it improves quality, efficiency and equity of care beyond cancer diagnostics is uncertain to date. Henceforth, the objective of our systematic review is to assess the clinical readiness and deployability of AI through evaluation of prospective studies of AI in cancer care following diagnosis. We undertook a systematic review to determine the types of AI involved and their respective outcomes. A PubMed and Web of Science search between 1 January 2013 and 1 May 2023 identified 15 articles detailing prospective evaluation of AI in postdiagnostic cancer pathway. We appraised all studies using Risk of Bias Assessment of Randomised Controlled Trials and Risk of Bias In Non-randomised Studies-of Interventions quality assessment tools, as well as implementational analysis concerning time, cost and resource, to ascertain the quality of clinical evidence and real-world feasibility of AI. The results revealed that the majority of AI oncological research remained experimental without prospective clinical validation or deployment. Most studies failed to establish clinical validity and to translate measured AI efficacy into beneficial clinical outcomes. AI research are limited by lack of research standardisation and health system interoperability. Furthermore, implementational analysis and equity considerations of AI were largely missing. To overcome the triad of low-level clinical evidence, efficacy-outcome gap and incompatible research ecosystem for AI, future work should focus on multicollaborative AI implementation research designed and conducted in accordance with up-to-date research standards and local health systems.  © 2024 The Author(s).",chemotherapy; palliative care; radiation oncology; surgical oncology,,RS and PYN are funded by Medical Research Council Global Alliance of Chronic Disease Grant ACCI No GACD-025. RS and PYN are also funded by BASO/Rosetrees Research Grant in Cancer Surgery. ,"R. Sullivan; Institute of Cancer Policy, King's College London Faculty of Life Sciences & Medicine, London, United Kingdom; email: richard.sullivan@kcl.ac.uk",BMJ Publishing Group,,,,,,27527948,,,,English,Review,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85195671462
Bossenko I.; Piho G.; Ivanova M.; Ross P.,"Bossenko, Igor (57951337000); Piho, Gunnar (36497203700); Ivanova, Marina (59250420300); Ross, Peeter (15760838900)",57951337000; 36497203700; 59250420300; 15760838900,"TermX: The semantic interoperability, knowledge management and sharing platform",2024,SoftwareX,27,,101839,,,,0.0,10.1016/j.softx.2024.101839,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200647731&doi=10.1016%2fj.softx.2024.101839&partnerID=40&md5=1c09d7429ac308c7768d2ef8a63bb396,"TermX is an open-source knowledge management and sharing platform, including a terminology server, a Wiki, a model designer, a transformation editor, and tools for authoring and publishing. The core development goals of TermX were to enhance the semantic interoperability of software and systems, particularly within the healthcare sector, by improving access to terminology, simplifying the design of data models, optimising the efficiency of data transformations across various data models, and developing implementation guides through an intuitive web interface. TermX aims to guarantee open and standardised access to published terminology, data models and schemas, ensuring semantic interoperability following the FHIR standard or other standards or agreements. © 2024 The Author(s)",Fast Healthcare Interoperability Resources (FHIR); FHIR Mapping Language (FML) editor; Model designer; Terminology server; TermX,Health care; Interoperability; Knowledge management; Open source software; Terminology; Fast healthcare interoperability resource; Fast healthcare interoperability resource mapping language  editor; Healthcare Interoperability; Language editors; Mapping Language; Model designer; Resource mapping; Terminology server; Termx; Semantics,"Funding text 1: This work in the project \u2019ICT programme\u2019 was supported by the European Union through the European Social Fund. The EU Programme for Applied Research of Enterprise Estonia, TalTech, TEHIK, and Kodality supported the development of TermX. This software and its research would not have been possible without the exceptional support of Daniel Dubrovski, Roman Bondarev, Rutt Lindstr\u00F6m, Jose Costa Teixeira, Oliver Egger, and Grahame Grieve.; Funding text 2: This work in the project \u2019ICT programme\u2019 was supported by the European Union through the European Social Fund . The EU Programme for Applied Research , Kodality , TEHIK , and TalTech supported the development of TermX. This software and its research would not have been possible without the exceptional support of Daniel Dubrovski, Roman Bondarev, Rutt Lindstr\u00F6m, Jose Costa Teixeira, Oliver Egger, and Grahame Grieve.","I. Bossenko; Department of Software Science, Tallinn University of Technology, Tallinn, Akadeemia 15A, 12618, Estonia; email: igor.bossenko@taltech.ee",Elsevier B.V.,,,,,,23527110,,,,English,Article,Final,,Scopus,2-s2.0-85200647731
Bishay A.E.; Hughes N.C.; Zargari M.; Paulo D.L.; Bishay S.; Lyons A.T.; Morkos M.N.; Ball T.J.; Englot D.J.; Bick S.K.,"Bishay, Anthony E. (58746377100); Hughes, Natasha C. (58941499400); Zargari, Michael (57217209354); Paulo, Danika L. (56191892700); Bishay, Steven (57211466367); Lyons, Alexander T. (58567420800); Morkos, Mariam N. (59144387200); Ball, Tyler J. (57205494410); Englot, Dario J. (23667065900); Bick, Sarah K. (57189843404)",58746377100; 58941499400; 57217209354; 56191892700; 57211466367; 58567420800; 59144387200; 57205494410; 23667065900; 57189843404,Disparities in Access to Deep Brain Stimulation for Parkinson's Disease and Proposed Interventions: A Literature Review,2024,Stereotactic and Functional Neurosurgery,102,3,,179,194,15.0,0.0,10.1159/000538748,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194133066&doi=10.1159%2f000538748&partnerID=40&md5=e7189b5a7d4d60d740211f5c5192466b,"Background: Deep brain stimulation (DBS) is an effective therapy for Parkinson's disease (PD), but disparities exist in access to DBS along gender, racial, and socioeconomic lines. Summary: Women are underrepresented in clinical trials and less likely to undergo DBS compared to their male counterparts. Racial and ethnic minorities are also less likely to undergo DBS procedures, even when controlling for disease severity and other demographic factors. These disparities can have significant impacts on patients' access to care, quality of life, and ability to manage their debilitating movement disorders. Key Messages: Addressing these disparities requires increasing patient awareness and education, minimizing barriers to equitable access, and implementing diversity and inclusion initiatives within the healthcare system. In this systematic review, we first review literature discussing gender, racial, and socioeconomic disparities in DBS access and then propose several patient, provider, community, and national-level interventions to improve DBS access for all populations. © 2024 The Author(s). Published by S. Karger AG, Basel.",Deep brain stimulation; Disparities; Ethnicity; Gender; Minorities; Socioeconomic status,Deep Brain Stimulation; Female; Health Services Accessibility; Healthcare Disparities; Humans; Male; Parkinson Disease; Socioeconomic Factors; African American; age; American Indian; anxiety; Asian; Black person; brain depth stimulation; Caucasian; community care; cultural bias; doctor patient relationship; economic inequality; gender inequality; health care access; health care disparity; health care policy; health care utilization; health education; health literacy; help seeking behavior; Hispanic; human; medicaid; Oceanic ancestry group; Parkinson disease; patient referral; racial disparity; racism; Review; social status; systematic review; treatment response; tremor; female; male; Parkinson disease; procedures; socioeconomics; therapy,,"S.K. Bick; Department of Neurological Surgery, Vanderbilt University Medical Center, Nashville, United States; email: sarah.bick@vumc.org",S. Karger AG,,,,,,10116125,,SFUNE,38697047.0,English,Review,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85194133066
