PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"27274012","SMART-on-FHIR implemented over i2b2","Wagholikar KB, Mandel JC, Klann JG, Wattanasin N, Mendis M, Chute CG, Mandl KD, Murphy SN.","J Am Med Inform Assoc. 2017 Mar 1;24(2):398-402. doi: 10.1093/jamia/ocw079.","Wagholikar KB","J Am Med Inform Assoc","2017","2016/06/09","PMC5391721","","10.1093/jamia/ocw079"
"29888095","i2b2 implemented over SMART-on-FHIR","Paris N, Mendis M, Daniel C, Murphy S, Tannier X, Zweigenbaum P.","AMIA Jt Summits Transl Sci Proc. 2018 May 18;2017:369-378. eCollection 2018.","Paris N","AMIA Jt Summits Transl Sci Proc","2018","2018/06/12","PMC5961782","",""
"35641136","Using CDS Hooks to increase SMART on FHIR app utilization: a cluster-randomized trial","Morgan KL, Kukhareva PV, Warner PB, Wilkof J, Snyder M, Horton D, Madsen T, Habboushe J, Kawamoto K.","J Am Med Inform Assoc. 2022 Aug 16;29(9):1461-1470. doi: 10.1093/jamia/ocac085.","Morgan KL","J Am Med Inform Assoc","2022","2022/05/31","PMC9382378","","10.1093/jamia/ocac085"
"31397312","A SMART on FHIR Prototype for Genomic Test Ordering","Metke-Jimenez A, Harrap K, Conlan D, Gibson S, Pearson J, Hansen D.","Stud Health Technol Inform. 2019 Aug 8;266:121-126. doi: 10.3233/SHTI190783.","Metke-Jimenez A","Stud Health Technol Inform","2019","2019/08/10","","","10.3233/SHTI190783"
"26911829","SMART on FHIR: a standards-based, interoperable apps platform for electronic health records","Mandel JC, Kreda DA, Mandl KD, Kohane IS, Ramoni RB.","J Am Med Inform Assoc. 2016 Sep;23(5):899-908. doi: 10.1093/jamia/ocv189. Epub 2016 Feb 17.","Mandel JC","J Am Med Inform Assoc","2016","2016/02/26","PMC4997036","","10.1093/jamia/ocv189"
"32599144","SMART on FHIR in spine: integrating clinical prediction models into electronic health records for precision medicine at the point of care","Karhade AV, Schwab JH, Del Fiol G, Kawamoto K.","Spine J. 2021 Oct;21(10):1649-1651. doi: 10.1016/j.spinee.2020.06.014. Epub 2020 Jun 26.","Karhade AV","Spine J","2021","2020/06/30","PMC7762727","NIHMS1607551","10.1016/j.spinee.2020.06.014"
"26198304","SMART on FHIR Genomics: facilitating standardized clinico-genomic apps","Alterovitz G, Warner J, Zhang P, Chen Y, Ullman-Cullere M, Kreda D, Kohane IS.","J Am Med Inform Assoc. 2015 Nov;22(6):1173-8. doi: 10.1093/jamia/ocv045. Epub 2015 Jul 21.","Alterovitz G","J Am Med Inform Assoc","2015","2015/07/23","","","10.1093/jamia/ocv045"
"37172143","Evaluating a CDS Hook for FHIR Questionnaires in a SMART on FHIR App and an Existing Dermatological CDS System","Tschandl P, Rinner C.","Stud Health Technol Inform. 2023 May 2;301:1-5. doi: 10.3233/SHTI230002.","Tschandl P","Stud Health Technol Inform","2023","2023/05/12","","","10.3233/SHTI230002"
"32477691","FHIR Lab Reports: using SMART on FHIR and CDS Hooks to increase the clinical utility of pharmacogenomic laboratory test results","Watkins M, Eilbeck K.","AMIA Jt Summits Transl Sci Proc. 2020 May 30;2020:683-692. eCollection 2020.","Watkins M","AMIA Jt Summits Transl Sci Proc","2020","2020/06/02","PMC7233102","",""
"32308850","Balancing Functionality versus Portability for SMART on FHIR Applications: Case Study for a Neonatal Bilirubin Management Application","Kukhareva P, Warner P, Rodriguez S, Kramer H, Weir C, Nanjo C, Shields D, Kawamoto K.","AMIA Annu Symp Proc. 2020 Mar 4;2019:562-571. eCollection 2019.","Kukhareva P","AMIA Annu Symp Proc","2020","2020/04/21","PMC7153075","",""
"36073457","Visualization of Medical Wearable-Data Using SMART-on-FHIR - A Concept for an Interdisciplinary Complex Practical Course","Bathelt F, Reinecke I, Sedlmayr B, Höhne S, Gierschner C, Sedlmayr M.","Stud Health Technol Inform. 2022 Aug 31;298:61-65. doi: 10.3233/SHTI220908.","Bathelt F","Stud Health Technol Inform","2022","2022/09/08","","","10.3233/SHTI220908"
"34279660","A novel application of SMART on FHIR architecture for interoperable and scalable integration of patient-reported outcome data with electronic health records","Wesley DB, Blumenthal J, Shah S, Littlejohn RA, Pruitt Z, Dixit R, Hsiao CJ, Dymek C, Ratwani RM.","J Am Med Inform Assoc. 2021 Sep 18;28(10):2220-2225. doi: 10.1093/jamia/ocab110.","Wesley DB","J Am Med Inform Assoc","2021","2021/07/19","PMC8449622","","10.1093/jamia/ocab110"
"28118917","Opening the Duke electronic health record to apps: Implementing SMART on FHIR","Bloomfield RA Jr, Polo-Wood F, Mandel JC, Mandl KD.","Int J Med Inform. 2017 Mar;99:1-10. doi: 10.1016/j.ijmedinf.2016.12.005. Epub 2016 Dec 12.","Bloomfield RA Jr","Int J Med Inform","2017","2017/01/26","","","10.1016/j.ijmedinf.2016.12.005"
"37934572","Clinical Decision Support to Reduce Opioid Prescriptions for Dental Extractions using SMART on FHIR: Implementation Report","Rindal DB, Pasumarthi DP, Thirumalai V, Truitt AR, Asche SE, Worley DC, Kane SM, Gryczynski J, Mitchell SG.","JMIR Med Inform. 2023 Nov 7;11:e45636. doi: 10.2196/45636.","Rindal DB","JMIR Med Inform","2023","2023/11/07","PMC10664010","","10.2196/45636"
"29026458","Safe Opioid Prescription: A SMART on FHIR Approach to Clinical Decision Support","Sinha S, Jensen M, Mullin S, Elkin PL.","Online J Public Health Inform. 2017 Sep 8;9(2):e193. doi: 10.5210/ojphi.v9i2.8034. eCollection 2017.","Sinha S","Online J Public Health Inform","2017","2017/10/14","PMC5630280","","10.5210/ojphi.v9i2.8034"
"32719880","Integrated displays to improve chronic disease management in ambulatory care: A SMART on FHIR application informed by mixed-methods user testing","Curran RL, Kukhareva PV, Taft T, Weir CR, Reese TJ, Nanjo C, Rodriguez-Loya S, Martin DK, Warner PB, Shields DE, Flynn MC, Boltax JP, Kawamoto K.","J Am Med Inform Assoc. 2020 Aug 1;27(8):1225-1234. doi: 10.1093/jamia/ocaa099.","Curran RL","J Am Med Inform Assoc","2020","2020/07/29","PMC7481023","","10.1093/jamia/ocaa099"
"33936500","End user information needs for a SMART on FHIR-based automated transfer form to support the care of nursing home patients during emergency department visits","Vest JR, Unruh MA, Hilts KE, Sanner L, Jones J, Khokhar S, Jung HY.","AMIA Annu Symp Proc. 2021 Jan 25;2020:1239-1248. eCollection 2020.","Vest JR","AMIA Annu Symp Proc","2021","2021/05/03","PMC8075455","",""
"31447099","Harmonizing Clinical Sequencing and Interpretation for the eMERGE III Network","eMERGE Consortium. Electronic address: agibbs@bcm.edu; eMERGE Consortium.","Am J Hum Genet. 2019 Sep 5;105(3):588-605. doi: 10.1016/j.ajhg.2019.07.018. Epub 2019 Aug 22.","eMERGE Consortium. Electronic address: agibbs@bcm.edu","Am J Hum Genet","2019","2019/08/27","PMC6731372","","10.1016/j.ajhg.2019.07.018"
"33215075","Design and development of referrals automation, a SMART on FHIR solution to improve patient access to specialty care","Odisho AY, Lui H, Yerramsetty R, Bautista F, Gleason N, Martin E, Young JJ, Blum M, Neinstein AB.","JAMIA Open. 2020 Oct 28;3(3):405-412. doi: 10.1093/jamiaopen/ooaa036. eCollection 2020 Oct.","Odisho AY","JAMIA Open","2020","2020/11/20","PMC7660949","","10.1093/jamiaopen/ooaa036"
"29993991","Intelligent Mortality Reporting With FHIR","Hoffman RA, Wu H, Venugopalan J, Braun P, Wang MD.","IEEE J Biomed Health Inform. 2018 Sep;22(5):1583-1588. doi: 10.1109/JBHI.2017.2780891. Epub 2018 Apr 6.","Hoffman RA","IEEE J Biomed Health Inform","2018","2018/07/12","","","10.1109/JBHI.2017.2780891"
"28804791","Intelligent Mortality Reporting with FHIR","Hoffman RA, Wu H, Venugopalan J, Braun P, Wang MD.","IEEE EMBS Int Conf Biomed Health Inform. 2017 Feb;2017:181-184. doi: 10.1109/BHI.2017.7897235. Epub 2017 Mar 13.","Hoffman RA","IEEE EMBS Int Conf Biomed Health Inform","2017","2017/08/15","PMC5548492","NIHMS887421","10.1109/BHI.2017.7897235"
"31395530","Health Care in the Age of Interoperability Part 6: The Future of FHIR","Braunstein ML.","IEEE Pulse. 2019 Jul-Aug;10(4):25-27. doi: 10.1109/MPULS.2019.2922575.","Braunstein ML","IEEE Pulse","2019","2019/08/10","","","10.1109/MPULS.2019.2922575"
"37869818","Unified Identification Protocol for Cross-Border Healthcare","Latorre F, Hawks CE, Colmenares B, Verma D, Gil M, Sala N.","Stud Health Technol Inform. 2023 Oct 20;309:111-115. doi: 10.3233/SHTI230752.","Latorre F","Stud Health Technol Inform","2023","2023/10/23","","","10.3233/SHTI230752"
"33785475","Introduction to The Spine Journal special issue on artificial intelligence and machine learning","Karhade AV, Schwab JH.","Spine J. 2021 Oct;21(10):1601-1603. doi: 10.1016/j.spinee.2021.03.028. Epub 2021 Mar 27.","Karhade AV","Spine J","2021","2021/03/31","","","10.1016/j.spinee.2021.03.028"
"27018265","SMART precision cancer medicine: a FHIR-based app to provide genomic information at the point of care","Warner JL, Rioth MJ, Mandl KD, Mandel JC, Kreda DA, Kohane IS, Carbone D, Oreto R, Wang L, Zhu S, Yao H, Alterovitz G.","J Am Med Inform Assoc. 2016 Jul;23(4):701-10. doi: 10.1093/jamia/ocw015. Epub 2016 Mar 27.","Warner JL","J Am Med Inform Assoc","2016","2016/03/29","PMC6080684","","10.1093/jamia/ocw015"
"31135347","Health Care in the Age of Interoperability Part 5: The Personal Health Record","Braunstein ML.","IEEE Pulse. 2019 May-Jun;10(3):19-23. doi: 10.1109/MPULS.2019.2911804.","Braunstein ML","IEEE Pulse","2019","2019/05/29","","","10.1109/MPULS.2019.2911804"
"34100949","Contemporary clinical decision support standards using Health Level Seven International Fast Healthcare Interoperability Resources","Strasberg HR, Rhodes B, Del Fiol G, Jenders RA, Haug PJ, Kawamoto K.","J Am Med Inform Assoc. 2021 Jul 30;28(8):1796-1806. doi: 10.1093/jamia/ocab070.","Strasberg HR","J Am Med Inform Assoc","2021","2021/06/08","PMC8324242","","10.1093/jamia/ocab070"
"30872211","Healthcare in the Age of Interoperability: Part 3","Braunstein ML.","IEEE Pulse. 2019 Jan-Feb;10(1):26-29. doi: 10.1109/MPULS.2018.2885831.","Braunstein ML","IEEE Pulse","2019","2019/03/16","","","10.1109/MPULS.2018.2885831"
