id,Authors,Title,Year,Source title,Cited by,DOI,Abstract,Author Keywords,Index Keywords,Publisher,Conference name,Conference date,Conference location,Document Type,Publication Stage,Open Access
0,Constantinides P.,Digital Transformation in Healthcare: An Ecosystem Approach,2023,Digital Transformation in Healthcare: An Ecosystem Approach,0.0,10.4324/9781032619569,"In an era of digital transformation within healthcare management, this important book outlines an ecosystem perspective to illustrate how a range of actors can use digital technologies to offer better value within the provision of healthcare services. From mobile applications to point-of-care diagnostic devices, from AI-enabled applications for data analysis to cloud models for service delivery and blockchain infrastructures, it provides a roadmap for how healthcare organizations can leverage these digital technologies. The book is also illustrated with case studies from different areas, including software for medical diagnostics, blockchain infrastructures for use in pharmaceutical supply chains and clinical trials, and federated learning platforms for genomics. Covering key issues such as patients’ rights to data and written in the aftermath of the COVID-19 pandemic, the book will be essential reading for researchers, postgraduate students, and professionals interested in how technology can support and enable healthcare service provision. © 2024 Panos Constantinides.",,,Taylor and Francis,,,,Book,Final,All Open Access; Green Open Access
1,Henrich V.C.; Orlando L.A.; Shirts B.H.,Managing Health in the Genomic Era: A Guide to Family Health History and Disease Risk,2020,Managing Health in the Genomic Era: A Guide to Family Health History and Disease Risk,2.0,10.1016/C2017-0-01313-7,"In Managing Health in the Genomic Era: A Guide to Family Health History and Disease Risk, Drs. Vincent C. Henrich, Lori A. Orlando, and Brian H. Shirts discuss the practical considerations surrounding the use of genomic and genetic tests to manage patient health, to provide adult disease risk assessment, to improve diagnosis, and to support effective interventions and treatment. In 10 chapters, evidence-based information and case studies are described and examine the central place of family health history (FHH) in genomic medicine, tools and strategies for compiling and analyzing family health history, how to identify existing and novel genetic markers, how to identify lineage specific (or rare) variants within families, and how to find effective interventions based on genetic testing results and FHH. Factors that influence clinical practice, including gene-environment interactions, FHH social networking, direct to consumer (DTC) genetic testing and data sharing, algorithms for analyzing genetic data, and patient counseling are discussed from the standpoint of clinical practice. Here, frontline healthcare providers will discover succinct commentary and key examples to assist with their local needs. Relevant principles of genetic biology and inheritance are explored and guidance on available support networks and online resources is also provided. © 2020 Elsevier Inc. All rights reserved.",,,Elsevier,,,,Book,Final,
2,Krist A.H.; South-Paul J.; Meisnere M.,Achieving whole health: A new approach for veterans and the nation,2023,Achieving Whole Health: A New Approach for Veterans and the Nation,20.0,10.17226/26854,"Whole health is physical, behavioral, spiritual, and socioeconomic well-being as defined by individuals, families, and communities. Whole health care is an interprofessional, team-based approach anchored in trusted relationships to promote well-being, prevent disease, and restore health. It aligns with a person's life mission, aspiration, and purpose. It shifts the focus from a reactive disease-oriented medical care system to one that prioritizes disease prevention, health, and well-being. It changes the health care conversation from ""What's wrong with you?"" to ""What matters to you?"" The Department of Veterans Affairs (VA), the Samueli Foundation, and the Whole Health Institute commissioned the National Academies of Sciences, Engineering, and Medicine to establish a committee to provide guidance on how to fill gaps and create processes to accelerate the transformation to whole health care for veterans, both inside and outside the VA system, and the rest of the U.S. population. The resulting report presents findings and recommendations that provide a roadmap for improving health and well-being for veterans and the nation. © National Academy of Sciences. All rights reserved.",,,National Academies Press,,,,Book,Final,
3,Braunstein M.L.,Health Informatics on FHIR: How HL7’s New API is Transforming Healthcare,2018,Health Informatics on FHIR: How HL7’s New API is Transforming Healthcare,43.0,10.1007/978-3-319-93414-3,"This textbook begins with an introduction to the US healthcare delivery system, its many systemic challenges and the prior efforts to develop and deploy informatics tools to help overcome those problems. It goes on to discuss health informatics from an historical perspective, its current state and its likely future state now that electronic health record systems are widely deployed, the HL7 Fast Healthcare Interoperability standard is being rapidly accepted as the means to access the data stored in those systems and analytics is increasing being used to gain new knowledge from that aggregated clinical data. It then turns to some of the important and evolving areas of informatics including population and public health, mHealth and big data and analytics. Use cases and case studies are used in all of these discussions to help readers connect the technologies to real world challenges.Effective use of informatics systems and tools by providers and their patients is key to improving the quality, safety and cost of healthcare. With health records now digital, no effective means has existed for sharing them with patients, among the multiple providers who may care for them and for important secondary uses such as public/population health and research. This problem is a topic of congressional discussion and is addressed by the 21st Century Cures Act of 2016 that mandates that electronic health record (EHR) systems offer a patient-facing API.HL7’s Fast Healthcare Interoperability Resources (FHIR) is that API and this is the first comprehensive treatment of the technology and the many ways it is already being used. FHIR is based on web technologies and is thus a far more facile, easy to implement approach that is rapidly gaining acceptance. It is also the basis for a ‘universal health app platform’ that literally has the potential to foster innovation around the data in patient records similar to the app ecosystems smartphones created around the data they store. FHIR app stores have already been opened by Epic and Cerner, the two largest enterprise EHR vendors.Provider facing apps are already being explored to improve EHR usability and support personalized medicine. Medicare and the Veteran’s Administration have announced FHIR app platforms for their patients. Apple’s new IOS 11.3 features the ability for consumers to aggregate their health records on their iPhone using FHIR. Health insurance companies are exploring applications of FHIR to improve service and communication with their providers and patients. SureScripts, the national e-Prescribing network, is using FHIR to help doctors know if their patients are complying with prescriptions.This textbook is for introductory health informatics courses for computer science and health sciences students (e.g. doctors, nurses, PhDs), the current health informatics community, IT professionals interested in learning about the field and practicing healthcare providers. Though this textbook covers an important new technology, it is accessible to non-technical readers including healthcare providers, their patients or anyone interested in the use of healthcare data for improved care, public/population health or research. © Springer International Publishing AG, part of Springer Nature 2018. All rights are reserved.",clinical genomics; e-Prescribing; electronic health records; Electronic medical records; FHIR; health analytics; Health APIs; Health care; Health informatics; health information exchange; HL7; imaging analytics; interoperability; medical research; mHealth; personal health records; personalized medicine; Population health; Public health; SMART Health Apps,,Springer International Publishing,,,,Book,Final,
4,"McCauley L.; Phillips R.L., Jr.; Meisnere M.; Robinson S.K.",Implementing high-quality primary care: Rebuilding the foundation of health care (2021),2021,Implementing High-Quality Primary Care,119.0,10.17226/25983,"High-quality primary care is the foundation of the health care system. It provides continuous, person-centered, relationship-based care that considers the needs and preferences of individuals, families, and communities. Without access to high-quality primary care, minor health problems can spiral into chronic disease, chronic disease management becomes difficult and uncoordinated, visits to emergency departments increase, preventive care lags, and health care spending soars to unsustainable levels. Unequal access to primary care remains a concern, and the COVID-19 pandemic amplified pervasive economic, mental health, and social health disparities that ubiquitous, high-quality primary care might have reduced. Primary care is the only health care component where an increased supply is associated with better population health and more equitable outcomes. For this reason, primary care is a common good, which makes the strength and quality of the country’s primary care services a public concern. Implementing High-Quality Primary Care: Rebuilding the Foundation of Health Care puts forth an evidence-based plan with actionable objectives and recommendations for implementing high-quality primary care in the United States. The implementation plan of this report balances national needs for scalable solutions while allowing for adaptations to meet local needs. © National Academy of Sciences.",,,National Academies Press,,,,Book,Final,
5,Hwang H.,Information technology: A neural network for reliable healthcare,2017,Leading Reliable Healthcare,0.0,10.1201/b21925,[No abstract available],,,Taylor and Francis,,,,Book chapter,Final,
6,Mattison J.; Ozeran L.,Secondary use of protected health information,2017,Information Privacy in the Evolving Healthcare Environment: Second Edition,0.0,10.1201/b21867,[No abstract available],,,Taylor and Francis,,,,Book chapter,Final,
7,Alhaddadin F.; Gutiérrez J.A.; Liu W.,The collaborative use of patients' health-related information: Challenges and research problems in a networked world,2018,Advances in Data Communications and Networking for Digital Business Transformation,0.0,10.4018/978-1-5225-5323-6.ch008,"The advancement in the field of information and communication technology has generated a great deal of information that was not possible to access earlier. Healthcare systems are one of the most beneficial applications using wireless medical sensor technologies, which can facilitate patient care within homes, hospitals, clinics, disaster sites, and the open environment. The integration and sharing of such information can contribute significantly to a better understanding of patients' health conditions and therefore to improving the quality of healthcare provided to them. However, in order to achieve sufficient levels of collaborative use of information among healthcare-related practitioners, there is a need to overcome a number of issues such as privacy and interoperability, among others. This chapter discusses two of the main challenges encountered before healthcare information systems can collaboratively share patients' records, namely privacy and interoperability. © 2018, IGI Global.",,,IGI Global,,,,Book chapter,Final,
8,Hoelscher S.H.; Hoelscher D.,Health information technology and infectious disease: Learning from the past,2018,Pandemics: The Nature of an Emerging Global Threat,0.0,10.4324/9781315170220-18,[No abstract available],,,Taylor and Francis,,,,Book chapter,Final,
9,Wilcox A.B.; Vawdrey D.K.; Kawamoto K.,Software engineering for health care and biomedicine,2021,Biomedical Informatics: Computer Applications in Health Care and Biomedicine: Fifth Edition,0.0,10.1007/978-3-030-58721-5_6,"Computer applications that collect, organize, interpret, and/or deliver biomedical data and information have been a critical component of biomedical informatics from the beginning of the field. Software applications are often the mechanism whereby advances in the field become activated. As the variety, complexity and breadth of the software tools have changed, considerations about the process and scope of software development has also evolved. Prominent among this evolution has been the development of electronic health records. With the movement of EHRs to predominantly purchased solutions, software engineering has adapted to new approaches that are supporting continued customized software development. © Springer Nature Switzerland AG 2021.",Agile development model; Computer-based decision support; Software development cycle; Waterfall development model,,Springer International Publishing,,,,Book chapter,Final,
